,accuracy,time,avg_exit_idx,alpha
0,0.9786402925531916,0.014627012800663,3.869348404255319,0.0
1,0.976811835106383,0.0126262129621302,3.10264295212766,0.05
2,0.9767287234042552,0.0098323327429751,3.000083111702128,0.1
3,0.9767287234042552,0.008747157898355,2.9999168882978724,0.15
4,0.9767287234042552,0.0114089199837217,2.9999168882978724,0.2
5,0.9767287234042552,0.0112309658781011,2.9999168882978724,0.25
6,0.9767287234042552,0.0111108802734537,2.999833776595745,0.3
7,0.976811835106383,0.0107189556385608,2.9981715425531914,0.35
8,0.9753158244680852,0.008255216669529,2.9783909574468086,0.4
9,0.955535239361702,0.0089045712288389,2.781748670212766,0.45
10,0.895279255319149,0.0075723960044536,2.210521941489361,0.5
11,0.8675199468085106,0.0066166418663998,2.003656914893617,0.55
12,0.8672706117021277,0.0052552083705333,2.0,0.6
13,0.8672706117021277,0.0060849950668659,2.0,0.65
14,0.8671043882978723,0.0052547619697895,1.9985871010638296,0.7
15,0.7450132978723404,0.0042649583613618,1.0,0.75
16,0.7450132978723404,0.0037234805999918,1.0,0.8
17,0.7450132978723404,0.0044620861398412,1.0,0.82
18,0.7450132978723404,0.0042019270836038,1.0,0.84
19,0.7450132978723404,0.0042712599673169,1.0,0.86
20,0.7450132978723404,0.0042074639746483,1.0,0.88
21,0.7450132978723404,0.0037393823583075,1.0,0.9
22,0.7450132978723404,0.0044684295958661,1.0,0.92
23,0.7450132978723404,0.003659482966078,1.0,0.95
24,0.7450132978723404,0.0045531721825295,1.0,1.0
